encoding,source,condition,alpha,technical_margin
X/Y,fluxpatch,domain_expert,-2.0,3.34375
X/Y,fluxpatch,matched_other_expert,-2.0,2.3125
X/Y,motifbridge,domain_expert,-2.0,1.34375
X/Y,motifbridge,matched_other_expert,-2.0,0.96875
X/Y,phasenest,domain_expert,-2.0,1.8125
X/Y,phasenest,matched_other_expert,-2.0,0.125
X/Y,phasesar,domain_expert,-2.0,2.125
X/Y,phasesar,matched_other_expert,-2.0,0.90625
X/Y,quorumweave,domain_expert,-2.0,1.7187500298023224
X/Y,quorumweave,matched_other_expert,-2.0,1.09375
X/Y,shardbloom,domain_expert,-2.0,1.1562499552965164
X/Y,shardbloom,matched_other_expert,-2.0,0.65625
X/Y,anchorshift,domain_expert,-1.0,2.9999999403953552
X/Y,anchorshift,matched_other_expert,-1.0,2.312500014901161
X/Y,driftgate,domain_expert,-1.0,2.71875
X/Y,driftgate,matched_other_expert,-1.0,2.375
X/Y,fluxpatch,domain_expert,-1.0,3.59375
X/Y,fluxpatch,matched_other_expert,-1.0,2.46875
X/Y,motifbridge,domain_expert,-1.0,1.5625
X/Y,motifbridge,matched_other_expert,-1.0,1.15625
X/Y,phasenest,domain_expert,-1.0,2.0625
X/Y,phasenest,matched_other_expert,-1.0,0.1875
X/Y,phasesar,domain_expert,-1.0,2.3749999701976776
X/Y,phasesar,matched_other_expert,-1.0,1.0000000149011612
X/Y,quorumweave,domain_expert,-1.0,1.9375
X/Y,quorumweave,matched_other_expert,-1.0,1.1875
X/Y,shardbloom,domain_expert,-1.0,1.34375
X/Y,shardbloom,matched_other_expert,-1.0,0.8125
X/Y,anchorshift,domain_expert,0.0,3.25
X/Y,anchorshift,matched_other_expert,0.0,2.5625
X/Y,driftgate,domain_expert,0.0,2.96875
X/Y,driftgate,matched_other_expert,0.0,2.625
X/Y,fluxpatch,domain_expert,0.0,3.9375
X/Y,fluxpatch,matched_other_expert,0.0,2.6875
X/Y,motifbridge,domain_expert,0.0,1.71875
X/Y,motifbridge,matched_other_expert,0.0,1.3125
X/Y,phasenest,domain_expert,0.0,2.2500000298023224
X/Y,phasenest,matched_other_expert,0.0,0.1875
X/Y,phasesar,domain_expert,0.0,2.5625
X/Y,phasesar,matched_other_expert,0.0,1.15625
X/Y,quorumweave,domain_expert,0.0,2.15625
X/Y,quorumweave,matched_other_expert,0.0,1.375
X/Y,shardbloom,domain_expert,0.0,1.53125
X/Y,shardbloom,matched_other_expert,0.0,0.875
X/Y,anchorshift,domain_expert,1.0,3.59375
X/Y,anchorshift,matched_other_expert,1.0,2.8124999701976776
X/Y,driftgate,domain_expert,1.0,3.21875
X/Y,driftgate,matched_other_expert,1.0,2.90625
X/Y,fluxpatch,domain_expert,1.0,4.1875
X/Y,fluxpatch,matched_other_expert,1.0,2.9375
X/Y,motifbridge,domain_expert,1.0,2.0
X/Y,motifbridge,matched_other_expert,1.0,1.5
X/Y,phasenest,domain_expert,1.0,2.46875
X/Y,phasenest,matched_other_expert,1.0,0.3124999925494194
X/Y,phasesar,domain_expert,1.0,2.84375
X/Y,phasesar,matched_other_expert,1.0,1.34375
X/Y,quorumweave,domain_expert,1.0,2.34375
X/Y,quorumweave,matched_other_expert,1.0,1.5312499701976776
X/Y,shardbloom,domain_expert,1.0,1.6875
X/Y,shardbloom,matched_other_expert,1.0,1.0937499850988388
X/Y,anchorshift,domain_expert,2.0,3.8125
X/Y,anchorshift,matched_other_expert,2.0,3.09375
X/Y,driftgate,domain_expert,2.0,3.46875
X/Y,driftgate,matched_other_expert,2.0,3.0625
X/Y,fluxpatch,domain_expert,2.0,4.4375
X/Y,fluxpatch,matched_other_expert,2.0,3.09375
X/Y,motifbridge,domain_expert,2.0,2.2812499701976776
X/Y,motifbridge,matched_other_expert,2.0,1.7187499701976776
X/Y,phasenest,domain_expert,2.0,2.625
X/Y,phasenest,matched_other_expert,2.0,0.3125000149011612
X/Y,phasesar,domain_expert,2.0,3.09375
X/Y,phasesar,matched_other_expert,2.0,1.5
X/Y,quorumweave,domain_expert,2.0,2.5625
X/Y,quorumweave,matched_other_expert,2.0,1.7187499701976776
X/Y,shardbloom,domain_expert,2.0,1.84375
X/Y,shardbloom,matched_other_expert,2.0,1.21875
1/2,anchorshift,domain_expert,-2.0,2.84375
1/2,anchorshift,matched_other_expert,-2.0,2.125
1/2,driftgate,domain_expert,-2.0,2.34375
1/2,driftgate,matched_other_expert,-2.0,1.75
1/2,fluxpatch,domain_expert,-2.0,2.843749985098839
1/2,fluxpatch,matched_other_expert,-2.0,2.062499985098839
1/2,motifbridge,domain_expert,-2.0,1.2812499552965164
1/2,motifbridge,matched_other_expert,-2.0,0.6250000149011612
1/2,phasenest,domain_expert,-2.0,1.4374999701976776
1/2,phasenest,matched_other_expert,-2.0,0.3437499850988388
1/2,phasesar,domain_expert,-2.0,1.8124999701976776
1/2,phasesar,matched_other_expert,-2.0,0.6875000149011612
1/2,quorumweave,domain_expert,-2.0,1.3437499850988388
1/2,quorumweave,matched_other_expert,-2.0,0.9062499925494194
1/2,shardbloom,domain_expert,-2.0,1.34375
1/2,shardbloom,matched_other_expert,-2.0,0.9375
1/2,anchorshift,domain_expert,-1.0,3.15625
1/2,anchorshift,matched_other_expert,-1.0,2.375
1/2,driftgate,domain_expert,-1.0,2.65625
1/2,driftgate,matched_other_expert,-1.0,1.875
1/2,fluxpatch,domain_expert,-1.0,3.15625
1/2,fluxpatch,matched_other_expert,-1.0,2.25
1/2,motifbridge,domain_expert,-1.0,1.46875
1/2,motifbridge,matched_other_expert,-1.0,0.75
1/2,phasenest,domain_expert,-1.0,1.5625000149011612
1/2,phasenest,matched_other_expert,-1.0,0.4062500149011612
1/2,phasesar,domain_expert,-1.0,2.0
1/2,phasesar,matched_other_expert,-1.0,0.8750000149011612
1/2,quorumweave,domain_expert,-1.0,1.5625000149011612
1/2,quorumweave,matched_other_expert,-1.0,1.03125
1/2,shardbloom,domain_expert,-1.0,1.46875
1/2,shardbloom,matched_other_expert,-1.0,1.125
1/2,anchorshift,domain_expert,0.0,3.5
1/2,anchorshift,matched_other_expert,0.0,2.624999985098839
1/2,driftgate,domain_expert,0.0,2.90625
1/2,driftgate,matched_other_expert,0.0,2.0624999701976776
1/2,fluxpatch,domain_expert,0.0,3.5
1/2,fluxpatch,matched_other_expert,0.0,2.5
1/2,motifbridge,domain_expert,0.0,1.71875
1/2,motifbridge,matched_other_expert,0.0,0.8750000149011612
1/2,phasenest,domain_expert,0.0,1.71875
1/2,phasenest,matched_other_expert,0.0,0.4375000149011612
1/2,phasesar,domain_expert,0.0,2.34375
1/2,phasesar,matched_other_expert,0.0,1.03125
1/2,quorumweave,domain_expert,0.0,1.75
1/2,quorumweave,matched_other_expert,0.0,1.1875
1/2,shardbloom,domain_expert,0.0,1.6250000298023224
1/2,shardbloom,matched_other_expert,0.0,1.1875
1/2,anchorshift,domain_expert,1.0,3.875
1/2,anchorshift,matched_other_expert,1.0,2.9687499701976776
1/2,driftgate,domain_expert,1.0,3.125
1/2,driftgate,matched_other_expert,1.0,2.21875
1/2,fluxpatch,domain_expert,1.0,3.7812499701976776
1/2,fluxpatch,matched_other_expert,1.0,2.78125
1/2,motifbridge,domain_expert,1.0,1.9375
1/2,motifbridge,matched_other_expert,1.0,1.0625000298023224
1/2,phasenest,domain_expert,1.0,1.9375
1/2,phasenest,matched_other_expert,1.0,0.5312499850988388
1/2,phasesar,domain_expert,1.0,2.5937500298023224
1/2,phasesar,matched_other_expert,1.0,1.125
1/2,quorumweave,domain_expert,1.0,1.90625
1/2,quorumweave,matched_other_expert,1.0,1.3124999701976776
1/2,shardbloom,domain_expert,1.0,1.8437499701976776
1/2,shardbloom,matched_other_expert,1.0,1.3125
1/2,anchorshift,domain_expert,2.0,4.1875
1/2,anchorshift,matched_other_expert,2.0,3.21875
1/2,driftgate,domain_expert,2.0,3.375
1/2,driftgate,matched_other_expert,2.0,2.46875
1/2,fluxpatch,domain_expert,2.0,4.09375
1/2,fluxpatch,matched_other_expert,2.0,3.03125
1/2,motifbridge,domain_expert,2.0,2.2187499701976776
1/2,motifbridge,matched_other_expert,2.0,1.2187499850988388
1/2,phasenest,domain_expert,2.0,2.15625
1/2,phasenest,matched_other_expert,2.0,0.5625
1/2,phasesar,domain_expert,2.0,2.84375
1/2,phasesar,matched_other_expert,2.0,1.3125000149011612
1/2,quorumweave,domain_expert,2.0,2.1250000298023224
1/2,quorumweave,matched_other_expert,2.0,1.46875
1/2,shardbloom,domain_expert,2.0,2.03125
1/2,shardbloom,matched_other_expert,2.0,1.5
