encoding,heldout_source,example_id,condition,profile_index,technical_label,baseline_margin,addition_signed_effect,ablated_margin
X/Y,ddpm,ddpm:matched_other_expert:test:6:B,matched_other_expert,6,Y,-3.999999761581421,1.749999761581421,-3.0
X/Y,ddpm,ddpm:matched_other_expert:test:7:A,matched_other_expert,7,X,13.0,-0.25,-0.25
X/Y,ddpm,ddpm:matched_other_expert:test:7:B,matched_other_expert,7,Y,3.75,-0.25,4.0
1/2,ddpm,ddpm:domain_expert:test:6:A,domain_expert,6,1,13.75,-0.25,15.5
1/2,ddpm,ddpm:domain_expert:test:6:B,domain_expert,6,2,-10.25,0.75,-18.5
1/2,ddpm,ddpm:domain_expert:test:7:A,domain_expert,7,1,13.75,-0.25,15.5
1/2,ddpm,ddpm:domain_expert:test:7:B,domain_expert,7,2,-3.75,1.5,-15.0
1/2,ddpm,ddpm:matched_other_expert:test:6:A,matched_other_expert,6,1,12.25,0.0,13.0
1/2,ddpm,ddpm:matched_other_expert:test:6:B,matched_other_expert,6,2,-8.75,0.25,-18.0
1/2,ddpm,ddpm:matched_other_expert:test:7:A,matched_other_expert,7,1,11.75,-0.5,12.0
1/2,ddpm,ddpm:matched_other_expert:test:7:B,matched_other_expert,7,2,-4.5,0.5,-12.75
A/B,gcn,gcn:domain_expert:test:6:A,domain_expert,6,A,9.75,-0.0,12.0
A/B,gcn,gcn:domain_expert:test:6:B,domain_expert,6,B,-7.0,0.25,-11.75
A/B,gcn,gcn:domain_expert:test:7:A,domain_expert,7,A,10.0,-0.25,11.0
A/B,gcn,gcn:domain_expert:test:7:B,domain_expert,7,B,-5.5,-0.25,-8.5
A/B,gcn,gcn:matched_other_expert:test:6:A,matched_other_expert,6,A,8.5,0.25,10.75
A/B,gcn,gcn:matched_other_expert:test:6:B,matched_other_expert,6,B,-8.0,1.0,-12.25
A/B,gcn,gcn:matched_other_expert:test:7:A,matched_other_expert,7,A,9.5,0.0,9.0
A/B,gcn,gcn:matched_other_expert:test:7:B,matched_other_expert,7,B,-7.0,0.0,-9.75
X/Y,gcn,gcn:domain_expert:test:6:A,domain_expert,6,X,10.75,-0.75,10.5
X/Y,gcn,gcn:domain_expert:test:6:B,domain_expert,6,Y,1.25,-0.0,-0.5
X/Y,gcn,gcn:domain_expert:test:7:A,domain_expert,7,X,12.5,0.25,8.75
X/Y,gcn,gcn:domain_expert:test:7:B,domain_expert,7,Y,3.999999761581421,-1.250000238418579,4.0
X/Y,gcn,gcn:matched_other_expert:test:6:A,matched_other_expert,6,X,9.25,0.0,7.0
X/Y,gcn,gcn:matched_other_expert:test:6:B,matched_other_expert,6,Y,-0.5,-0.5,-3.0
X/Y,gcn,gcn:matched_other_expert:test:7:A,matched_other_expert,7,X,11.0,0.0,5.25
X/Y,gcn,gcn:matched_other_expert:test:7:B,matched_other_expert,7,Y,0.5,-0.25,1.75
1/2,gcn,gcn:domain_expert:test:6:A,domain_expert,6,1,10.5,-0.0,8.75
1/2,gcn,gcn:domain_expert:test:6:B,domain_expert,6,2,-6.0,0.25,-5.75
1/2,gcn,gcn:domain_expert:test:7:A,domain_expert,7,1,10.5,-0.25,8.5
1/2,gcn,gcn:domain_expert:test:7:B,domain_expert,7,2,-2.25,-0.0,-1.0
1/2,gcn,gcn:matched_other_expert:test:6:A,matched_other_expert,6,1,8.5,0.0,7.0
1/2,gcn,gcn:matched_other_expert:test:6:B,matched_other_expert,6,2,-5.5,0.25,-6.75
1/2,gcn,gcn:matched_other_expert:test:7:A,matched_other_expert,7,1,8.0,0.0,4.5
1/2,gcn,gcn:matched_other_expert:test:7:B,matched_other_expert,7,2,-3.25,-1.0,-1.75
A/B,kriging,kriging:domain_expert:test:6:A,domain_expert,6,A,6.0,-0.5,9.5
A/B,kriging,kriging:domain_expert:test:6:B,domain_expert,6,B,-9.75,1.0,-11.5
A/B,kriging,kriging:domain_expert:test:7:A,domain_expert,7,A,7.75,-0.0,10.75
A/B,kriging,kriging:domain_expert:test:7:B,domain_expert,7,B,-9.25,0.5,-8.0
A/B,kriging,kriging:matched_other_expert:test:6:A,matched_other_expert,6,A,6.0,-0.5,11.0
A/B,kriging,kriging:matched_other_expert:test:6:B,matched_other_expert,6,B,-10.75,0.5,-13.0
A/B,kriging,kriging:matched_other_expert:test:7:A,matched_other_expert,7,A,7.25,-0.25,12.0
A/B,kriging,kriging:matched_other_expert:test:7:B,matched_other_expert,7,B,-10.5,0.5,-9.75
X/Y,kriging,kriging:domain_expert:test:6:A,domain_expert,6,X,-0.25,-1.25,-0.5
X/Y,kriging,kriging:domain_expert:test:6:B,domain_expert,6,Y,-6.5,0.5,-1.9999998807907104
X/Y,kriging,kriging:domain_expert:test:7:A,domain_expert,7,X,1.0,-0.0,-1.25
X/Y,kriging,kriging:domain_expert:test:7:B,domain_expert,7,Y,-5.25,0.75,6.75
X/Y,kriging,kriging:matched_other_expert:test:6:A,matched_other_expert,6,X,1.0,-1.5,1.0
X/Y,kriging,kriging:matched_other_expert:test:6:B,matched_other_expert,6,Y,-11.25,1.0,-4.5
X/Y,kriging,kriging:matched_other_expert:test:7:A,matched_other_expert,7,X,-1.5,-1.0,0.5
X/Y,kriging,kriging:matched_other_expert:test:7:B,matched_other_expert,7,Y,-9.0,0.0,1.0
1/2,kriging,kriging:domain_expert:test:6:A,domain_expert,6,1,8.0,-0.5,10.375
1/2,kriging,kriging:domain_expert:test:6:B,domain_expert,6,2,-10.5,0.25,-10.125
1/2,kriging,kriging:domain_expert:test:7:A,domain_expert,7,1,7.25,0.25,11.625
1/2,kriging,kriging:domain_expert:test:7:B,domain_expert,7,2,-8.75,-0.5,-6.25
1/2,kriging,kriging:matched_other_expert:test:6:A,matched_other_expert,6,1,8.5,-0.25,10.875
1/2,kriging,kriging:matched_other_expert:test:6:B,matched_other_expert,6,2,-11.25,0.25,-10.625
1/2,kriging,kriging:matched_other_expert:test:7:A,matched_other_expert,7,1,7.5,-0.25,11.5
1/2,kriging,kriging:matched_other_expert:test:7:B,matched_other_expert,7,2,-9.25,0.5,-6.75
A/B,resnet,resnet:domain_expert:test:6:A,domain_expert,6,A,9.75,-0.0,9.5
A/B,resnet,resnet:domain_expert:test:6:B,domain_expert,6,B,-7.25,0.25,-8.0
A/B,resnet,resnet:domain_expert:test:7:A,domain_expert,7,A,9.75,0.25,8.0
A/B,resnet,resnet:domain_expert:test:7:B,domain_expert,7,B,-3.5,-0.5,-5.5
A/B,resnet,resnet:matched_other_expert:test:6:A,matched_other_expert,6,A,9.0,0.25,8.25
A/B,resnet,resnet:matched_other_expert:test:6:B,matched_other_expert,6,B,-8.25,0.5,-8.75
A/B,resnet,resnet:matched_other_expert:test:7:A,matched_other_expert,7,A,8.5,0.25,4.5
A/B,resnet,resnet:matched_other_expert:test:7:B,matched_other_expert,7,B,-2.0,-0.25,-2.75
X/Y,resnet,resnet:domain_expert:test:6:A,domain_expert,6,X,6.5,-0.75,-0.7500000596046448
X/Y,resnet,resnet:domain_expert:test:6:B,domain_expert,6,Y,0.0,0.5,3.0
X/Y,resnet,resnet:domain_expert:test:7:A,domain_expert,7,X,6.75,0.5,-1.25
X/Y,resnet,resnet:domain_expert:test:7:B,domain_expert,7,Y,5.75,-0.0,7.25
X/Y,resnet,resnet:matched_other_expert:test:6:A,matched_other_expert,6,X,6.25,0.0,0.0
X/Y,resnet,resnet:matched_other_expert:test:6:B,matched_other_expert,6,Y,-0.5,-0.5,2.5
X/Y,resnet,resnet:matched_other_expert:test:7:A,matched_other_expert,7,X,4.5,1.0,-5.25
X/Y,resnet,resnet:matched_other_expert:test:7:B,matched_other_expert,7,Y,7.0,-0.25,10.75
1/2,resnet,resnet:domain_expert:test:6:A,domain_expert,6,1,9.75,-0.25,9.5
1/2,resnet,resnet:domain_expert:test:6:B,domain_expert,6,2,-8.25,-0.5,-7.5
1/2,resnet,resnet:domain_expert:test:7:A,domain_expert,7,1,9.0,-0.75,8.75
1/2,resnet,resnet:domain_expert:test:7:B,domain_expert,7,2,-4.0,-0.5,-5.25
1/2,resnet,resnet:matched_other_expert:test:6:A,matched_other_expert,6,1,9.0,0.0,8.75
1/2,resnet,resnet:matched_other_expert:test:6:B,matched_other_expert,6,2,-9.25,0.5,-6.75
1/2,resnet,resnet:matched_other_expert:test:7:A,matched_other_expert,7,1,8.75,-0.5,7.25
1/2,resnet,resnet:matched_other_expert:test:7:B,matched_other_expert,7,2,-2.25,-0.25,-3.25
A/B,transformer,transformer:domain_expert:test:6:A,domain_expert,6,A,7.0,-0.25,12.25
A/B,transformer,transformer:domain_expert:test:6:B,domain_expert,6,B,-2.5,1.0,-9.25
A/B,transformer,transformer:domain_expert:test:7:A,domain_expert,7,A,10.0,-0.0,13.5
A/B,transformer,transformer:domain_expert:test:7:B,domain_expert,7,B,2.5,-0.25,-5.25
A/B,transformer,transformer:matched_other_expert:test:6:A,matched_other_expert,6,A,7.5,0.25,14.25
A/B,transformer,transformer:matched_other_expert:test:6:B,matched_other_expert,6,B,-3.75,0.25,-11.25
A/B,transformer,transformer:matched_other_expert:test:7:A,matched_other_expert,7,A,9.75,0.0,13.75
A/B,transformer,transformer:matched_other_expert:test:7:B,matched_other_expert,7,B,3.75,0.0,-3.75
X/Y,transformer,transformer:domain_expert:test:6:A,domain_expert,6,X,1.5,0.25,5.5
X/Y,transformer,transformer:domain_expert:test:6:B,domain_expert,6,Y,6.75,-0.25,2.25
X/Y,transformer,transformer:domain_expert:test:7:A,domain_expert,7,X,8.5,-0.0,7.75
X/Y,transformer,transformer:domain_expert:test:7:B,domain_expert,7,Y,9.75,-0.0,7.5
X/Y,transformer,transformer:matched_other_expert:test:6:A,matched_other_expert,6,X,3.0,0.5,10.0
X/Y,transformer,transformer:matched_other_expert:test:6:B,matched_other_expert,6,Y,6.0,-0.5,-0.5
X/Y,transformer,transformer:matched_other_expert:test:7:A,matched_other_expert,7,X,10.75,-0.5,11.25
X/Y,transformer,transformer:matched_other_expert:test:7:B,matched_other_expert,7,Y,9.75,0.25,7.0
1/2,transformer,transformer:domain_expert:test:6:A,domain_expert,6,1,5.0,-0.75,8.25
1/2,transformer,transformer:domain_expert:test:6:B,domain_expert,6,2,-0.25,-0.0,-2.5
1/2,transformer,transformer:domain_expert:test:7:A,domain_expert,7,1,8.25,-0.25,11.25
1/2,transformer,transformer:domain_expert:test:7:B,domain_expert,7,2,6.25,0.5,4.0
1/2,transformer,transformer:matched_other_expert:test:6:A,matched_other_expert,6,1,6.75,0.0,8.75
1/2,transformer,transformer:matched_other_expert:test:6:B,matched_other_expert,6,2,-1.0,0.25,-3.0
1/2,transformer,transformer:matched_other_expert:test:7:A,matched_other_expert,7,1,9.25,0.0,12.25
1/2,transformer,transformer:matched_other_expert:test:7:B,matched_other_expert,7,2,5.0,1.5,3.75
A/B,unet,unet:domain_expert:test:6:A,domain_expert,6,A,12.5,-0.5,9.25
A/B,unet,unet:domain_expert:test:6:B,domain_expert,6,B,-6.0,1.25,-8.5
A/B,unet,unet:domain_expert:test:7:A,domain_expert,7,A,13.25,-0.0,9.5
A/B,unet,unet:domain_expert:test:7:B,domain_expert,7,B,2.75,1.0,-3.75
A/B,unet,unet:matched_other_expert:test:6:A,matched_other_expert,6,A,12.25,-0.25,9.0
A/B,unet,unet:matched_other_expert:test:6:B,matched_other_expert,6,B,-7.25,0.25,-10.0
A/B,unet,unet:matched_other_expert:test:7:A,matched_other_expert,7,A,13.0,0.0,8.75
A/B,unet,unet:matched_other_expert:test:7:B,matched_other_expert,7,B,4.25,0.75,-1.75
X/Y,unet,unet:domain_expert:test:6:A,domain_expert,6,X,14.75,0.25,9.25
X/Y,unet,unet:domain_expert:test:6:B,domain_expert,6,Y,4.25,1.0,-3.25
X/Y,unet,unet:domain_expert:test:7:A,domain_expert,7,X,15.75,0.25,11.25
X/Y,unet,unet:domain_expert:test:7:B,domain_expert,7,Y,10.0,0.25,3.5
X/Y,unet,unet:matched_other_expert:test:6:A,matched_other_expert,6,X,13.75,0.25,9.25
X/Y,unet,unet:matched_other_expert:test:6:B,matched_other_expert,6,Y,1.0,1.25,-5.75
X/Y,unet,unet:matched_other_expert:test:7:A,matched_other_expert,7,X,14.25,0.0,10.0
X/Y,unet,unet:matched_other_expert:test:7:B,matched_other_expert,7,Y,10.25,0.0,6.0
1/2,unet,unet:domain_expert:test:6:A,domain_expert,6,1,12.5,-0.0,11.75
1/2,unet,unet:domain_expert:test:6:B,domain_expert,6,2,-6.0,0.75,-12.0
1/2,unet,unet:domain_expert:test:7:A,domain_expert,7,1,12.5,-0.25,11.25
1/2,unet,unet:domain_expert:test:7:B,domain_expert,7,2,3.25,0.5,-5.0
1/2,unet,unet:matched_other_expert:test:6:A,matched_other_expert,6,1,12.25,0.25,11.0
1/2,unet,unet:matched_other_expert:test:6:B,matched_other_expert,6,2,-8.25,0.75,-14.0
1/2,unet,unet:matched_other_expert:test:7:A,matched_other_expert,7,1,11.5,0.75,10.5
1/2,unet,unet:matched_other_expert:test:7:B,matched_other_expert,7,2,3.5,0.0,-2.5
A/B,xgboost,xgboost:domain_expert:test:6:A,domain_expert,6,A,5.25,-0.25,3.5
A/B,xgboost,xgboost:domain_expert:test:6:B,domain_expert,6,B,1.25,0.5,-2.5
A/B,xgboost,xgboost:domain_expert:test:7:A,domain_expert,7,A,6.25,-0.0,4.75
A/B,xgboost,xgboost:domain_expert:test:7:B,domain_expert,7,B,3.0,0.5,-1.75
A/B,xgboost,xgboost:matched_other_expert:test:6:A,matched_other_expert,6,A,6.75,0.0,5.25
A/B,xgboost,xgboost:matched_other_expert:test:6:B,matched_other_expert,6,B,6.25,0.5,-3.75
A/B,xgboost,xgboost:matched_other_expert:test:7:A,matched_other_expert,7,A,6.0,0.75,4.5
A/B,xgboost,xgboost:matched_other_expert:test:7:B,matched_other_expert,7,B,6.25,-0.75,-0.5
X/Y,xgboost,xgboost:domain_expert:test:6:A,domain_expert,6,X,2.5,0.25,-6.75
X/Y,xgboost,xgboost:domain_expert:test:6:B,domain_expert,6,Y,4.75,-0.0,6.75
X/Y,xgboost,xgboost:domain_expert:test:7:A,domain_expert,7,X,7.75,-0.0,-3.5
X/Y,xgboost,xgboost:domain_expert:test:7:B,domain_expert,7,Y,7.5,-0.5,10.0
X/Y,xgboost,xgboost:matched_other_expert:test:6:A,matched_other_expert,6,X,8.5,0.5,-4.0
X/Y,xgboost,xgboost:matched_other_expert:test:6:B,matched_other_expert,6,Y,8.75,0.0,6.5
X/Y,xgboost,xgboost:matched_other_expert:test:7:A,matched_other_expert,7,X,7.75,0.5,-3.5
X/Y,xgboost,xgboost:matched_other_expert:test:7:B,matched_other_expert,7,Y,9.5,0.0,11.5
1/2,xgboost,xgboost:domain_expert:test:6:A,domain_expert,6,1,8.75,-0.0,12.25
1/2,xgboost,xgboost:domain_expert:test:6:B,domain_expert,6,2,-0.75,0.25,-9.5
1/2,xgboost,xgboost:domain_expert:test:7:A,domain_expert,7,1,8.75,-0.0,12.5
1/2,xgboost,xgboost:domain_expert:test:7:B,domain_expert,7,2,2.0,-0.5,-7.0
1/2,xgboost,xgboost:matched_other_expert:test:6:A,matched_other_expert,6,1,11.0,0.0,13.0
1/2,xgboost,xgboost:matched_other_expert:test:6:B,matched_other_expert,6,2,4.0,0.25,-8.25
1/2,xgboost,xgboost:matched_other_expert:test:7:A,matched_other_expert,7,1,9.5,0.0,13.0
1/2,xgboost,xgboost:matched_other_expert:test:7:B,matched_other_expert,7,2,5.0,0.0,-5.75
