blind_code,example_id,condition,alpha
dc8ae26de4d3,phasesar:matched_other_expert:test:1,matched_other_expert,0.0
a4d9216af4e2,phasesar:matched_other_expert:test:1,matched_other_expert,1.0
2665ad3d5006,phasesar:matched_other_expert:test:1,matched_other_expert,2.0
f6e81be6de4c,quorumweave:domain_expert:test:0,domain_expert,-2.0
c00672d9b997,quorumweave:domain_expert:test:0,domain_expert,-1.0
87fd55c85cc0,quorumweave:domain_expert:test:0,domain_expert,0.0
9d9850497960,quorumweave:domain_expert:test:0,domain_expert,1.0
1cf9f35cd23c,quorumweave:domain_expert:test:0,domain_expert,2.0
030f8ce3aa25,quorumweave:domain_expert:test:1,domain_expert,-2.0
c52b7f66084f,quorumweave:domain_expert:test:1,domain_expert,-1.0
31efe0e5734a,quorumweave:domain_expert:test:1,domain_expert,0.0
153c5cd13e70,quorumweave:domain_expert:test:1,domain_expert,1.0
57ae6d0061bc,quorumweave:domain_expert:test:1,domain_expert,2.0
87a6b52fc56b,quorumweave:matched_other_expert:test:0,matched_other_expert,-2.0
365ac48c7e5f,quorumweave:matched_other_expert:test:0,matched_other_expert,-1.0
b7aabb276803,quorumweave:matched_other_expert:test:0,matched_other_expert,0.0
fbd035368c72,quorumweave:matched_other_expert:test:0,matched_other_expert,1.0
eb0f53eb8d2f,quorumweave:matched_other_expert:test:0,matched_other_expert,2.0
b6212e2f3880,quorumweave:matched_other_expert:test:1,matched_other_expert,-2.0
5e63465baf98,quorumweave:matched_other_expert:test:1,matched_other_expert,-1.0
49f57c7e609c,quorumweave:matched_other_expert:test:1,matched_other_expert,0.0
3024c351521d,quorumweave:matched_other_expert:test:1,matched_other_expert,1.0
8d2b74d56e2e,quorumweave:matched_other_expert:test:1,matched_other_expert,2.0
4c9a66c37ef5,phasenest:domain_expert:test:0,domain_expert,-2.0
c13cf718d6e2,phasenest:domain_expert:test:0,domain_expert,-1.0
9461b936bed5,phasenest:domain_expert:test:0,domain_expert,0.0
ef684e7755c9,phasenest:domain_expert:test:0,domain_expert,1.0
beeb52c312ad,phasenest:domain_expert:test:0,domain_expert,2.0
6a3958f6914f,phasenest:domain_expert:test:1,domain_expert,-2.0
7bc4c66030c8,phasenest:domain_expert:test:1,domain_expert,-1.0
e9d9993f9581,phasenest:domain_expert:test:1,domain_expert,0.0
51afd769f968,phasenest:domain_expert:test:1,domain_expert,1.0
3fb9ad371e66,phasenest:domain_expert:test:1,domain_expert,2.0
bb59a0456405,phasenest:matched_other_expert:test:0,matched_other_expert,-2.0
257dedb90ee9,phasenest:matched_other_expert:test:0,matched_other_expert,-1.0
c14edcb62cb4,phasenest:matched_other_expert:test:0,matched_other_expert,0.0
c6c4534eb353,phasenest:matched_other_expert:test:0,matched_other_expert,1.0
456e96029153,phasenest:matched_other_expert:test:0,matched_other_expert,2.0
f450fe1f4acf,phasenest:matched_other_expert:test:1,matched_other_expert,-2.0
afaf0a84a8ad,phasenest:matched_other_expert:test:1,matched_other_expert,-1.0
4d49d39cf537,phasenest:matched_other_expert:test:1,matched_other_expert,0.0
0968f4846de2,phasenest:matched_other_expert:test:1,matched_other_expert,1.0
123957739f51,phasenest:matched_other_expert:test:1,matched_other_expert,2.0
